CABra ID  	 735
ANA ID    	 87400000
Longitude 	 -51.068   	 dd
Latitude  	 -29.963   	 dd
Area      	 1664.71   	 km²
Elevation 	 55.72     	 m
 
p_ref, tmin_ref, tmax_ref, rh_ref, wnd_ref and srad_ref product are derived from the Xavier et al. (2016) dataset
et_ref product is derived from the GLEAM dataset
pet_pm was estimated by Penman-Monteith method
pet_pt was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ref	   tmin_ref	   tmax_ref	     rh_ref	    wnd_ref	   srad_ref	   et_ref	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.649	     13.738	     22.033	     69.037	      2.145	     26.389	    2.575	    4.584	    6.935	    5.187
 1980	     1	     2	    0.000	     12.881	     23.490	     69.737	      1.829	     28.715	    4.156	    4.913	    7.548	    5.692
 1980	     1	     3	    0.000	     13.601	     27.517	     64.649	      1.417	     29.463	    4.316	    5.438	    8.063	    6.225
 1980	     1	     4	    0.000	     15.641	     27.312	     63.024	      1.925	     29.017	    4.475	    5.790	    8.066	    6.278
 1980	     1	     5	    0.000	     17.958	     28.594	     70.602	      1.781	     25.177	    4.187	    5.217	    7.247	    5.697
 1980	     1	     6	    0.054	     19.415	     31.494	     70.418	      2.748	     22.607	    3.777	    4.986	    6.743	    5.384
 1980	     1	     7	   11.966	     19.730	     29.462	     73.509	      1.907	     21.971	    5.439	    4.786	    6.506	    5.132
 1980	     1	     8	    3.563	     19.785	     28.764	     84.203	      1.511	     14.373	    4.246	    3.271	    4.443	    3.330
 1980	     1	     9	   19.336	     18.983	     22.042	     93.201	      2.071	     11.783	    4.449	    2.282	    3.612	    2.486
 1980	     1	    10	   13.120	     18.866	     25.631	     82.037	      2.073	     18.734	    3.623	    3.809	    5.464	    4.135
 1980	     1	    11	    1.991	     16.728	     29.709	     72.154	      1.368	     26.418	    4.818	    5.232	    7.571	    5.969
 1980	     1	    12	    0.002	     19.265	     26.584	     78.014	      2.158	     23.884	    4.204	    4.614	    6.870	    5.358
 1980	     1	    13	    0.000	     18.790	     27.875	     71.485	      3.336	     29.732	    4.664	    5.863	    8.492	    6.736
 1980	     1	    14	    0.000	     18.707	     26.691	     69.122	      3.424	     28.823	    4.119	    5.798	    8.166	    6.430
 1980	     1	    15	    0.000	     17.834	     27.676	     72.040	      3.040	     28.254	    3.853	    5.527	    8.017	    6.311
 1980	     1	    16	    0.818	     19.153	     27.193	     82.609	      2.515	     19.450	    4.006	    4.032	    5.717	    4.392
 1980	     1	    17	    0.161	     20.106	     29.180	     79.561	      2.599	     21.595	    4.342	    4.509	    6.406	    5.050
 1980	     1	    18	    0.573	     21.230	     27.987	     82.751	      0.739	     15.559	    4.889	    3.367	    4.788	    3.636
 1980	     1	    19	    1.342	     20.010	     30.539	     76.554	      1.537	     24.845	    4.181	    5.003	    7.350	    5.895
 1980	     1	    20	    0.661	     17.075	     26.660	     67.130	      2.238	     29.035	    4.028	    5.721	    8.115	    6.344
 1980	     1	    21	    0.000	     17.903	     28.983	     64.725	      1.450	     28.892	    4.182	    5.594	    8.270	    6.564
 1980	     1	    22	    0.000	     18.482	     32.506	     57.982	      1.920	     29.310	    4.273	    6.401	    8.625	    6.989
 1980	     1	    23	    1.954	     21.037	     34.475	     59.662	      2.124	     22.294	    3.892	    5.920	    6.828	    5.594
 1980	     1	    24	   13.688	     14.140	     21.678	     88.172	      2.414	     10.841	    1.813	    2.212	    3.212	    2.132
 1980	     1	    25	    6.870	     12.893	     24.716	     69.331	      2.861	     26.944	    4.092	    5.037	    7.178	    5.433
 1980	     1	    26	    0.000	     15.735	     28.058	     70.906	      1.512	     28.401	    3.933	    5.260	    7.945	    6.211
 1980	     1	    27	    0.000	     17.367	     30.797	     73.535	      1.786	     26.922	    3.632	    5.360	    7.795	    6.211
 1980	     1	    28	    0.000	     20.953	     26.905	     78.346	      2.323	     20.280	    2.794	    4.272	    5.995	    4.661
 1980	     1	    29	    0.282	     17.681	     29.035	     68.825	      2.624	     28.037	    4.053	    5.819	    8.020	    6.356
 1980	     1	    30	    2.041	     18.885	     31.262	     70.585	      2.314	     23.135	    5.538	    5.077	    6.845	    5.462
 1980	     1	    31	   33.917	     18.132	     24.023	     88.470	      1.728	     11.709	    3.139	    2.441	    3.597	    2.507
 1980	     2	     1	   21.984	     16.256	     23.435	     83.633	      2.525	     21.343	    4.173	    3.874	    5.895	    4.426
 1980	     2	     2	    1.198	     16.348	     25.440	     75.518	      2.873	     23.716	    2.577	    4.603	    6.598	    5.054
 1980	     2	     3	    0.015	     19.261	     29.154	     71.486	      2.453	     28.898	    4.294	    5.736	    8.354	    6.686
 1980	     2	     4	    0.000	     18.107	     29.583	     70.089	      2.567	     27.097	    4.172	    5.503	    7.812	    6.215
 1980	     2	     5	    3.275	     20.870	     30.843	     78.070	      2.007	     15.917	    4.543	    3.578	    4.924	    3.827
 1980	     2	     6	    4.180	     21.451	     29.772	     75.545	      2.058	     23.889	    3.084	    5.089	    7.108	    5.714
 1980	     2	     7	    0.066	     19.525	     28.508	     73.798	      1.464	     25.907	    3.981	    5.122	    7.504	    5.967
 1980	     2	     8	    0.001	     18.760	     29.616	     65.104	      1.556	     27.610	    4.228	    5.382	    7.989	    6.385
 1980	     2	     9	    0.000	     20.678	     32.851	     66.767	      2.641	     27.215	    5.437	    6.079	    8.152	    6.683
 1980	     2	    10	   19.594	     19.517	     29.452	     85.888	      2.631	     16.448	    3.950	    3.592	    4.983	    3.831
 1980	     2	    11	   31.255	     20.137	     25.882	     81.072	      2.060	     15.512	    3.758	    3.414	    4.665	    3.488
 1980	     2	    12	    0.915	     17.793	     30.720	     75.068	      2.056	     27.226	    3.984	    5.264	    7.885	    6.308
 1980	     2	    13	    0.000	     20.203	     29.045	     79.493	      1.967	     25.743	    3.847	    5.053	    7.516	    6.016
 1980	     2	    14	    0.000	     20.442	     29.950	     71.749	      2.583	     27.495	    4.355	    5.680	    8.062	    6.511
 1980	     2	    15	    0.000	     20.012	     31.100	     73.384	      2.203	     26.172	    4.112	    5.411	    7.726	    6.250
 1980	     2	    16	    8.076	     20.797	     32.677	     76.695	      1.945	     23.199	    3.966	    4.989	    6.991	    5.690
 1980	     2	    17	   19.516	     20.066	     24.235	     89.082	      2.368	     10.814	    3.426	    2.312	    3.423	    2.381
 1980	     2	    18	    9.647	     17.579	     23.811	     71.233	      3.341	     22.412	    2.715	    4.636	    6.230	    4.754
 1980	     2	    19	    0.000	     17.097	     24.699	     72.164	      3.137	     21.559	    3.329	    4.372	    6.028	    4.595
 1980	     2	    20	    0.001	     14.339	     23.706	     78.872	      2.701	     20.730	    2.989	    3.907	    5.633	    4.204
 1980	     2	    21	    3.873	     18.762	     25.162	     86.588	      2.043	     17.362	    3.583	    3.317	    5.051	    3.802
 1980	     2	    22	   13.477	     19.812	     27.582	     78.418	      1.385	     22.841	    3.888	    4.384	    6.623	    5.220
 1980	     2	    23	    0.304	     19.970	     28.082	     84.172	      1.966	     19.582	    4.387	    3.909	    5.778	    4.511
 1980	     2	    24	    4.699	     19.990	     30.137	     85.242	      1.217	     20.211	    4.249	    3.988	    6.020	    4.771
 1980	     2	    25	    7.430	     19.787	     26.684	     88.137	      1.840	     11.518	    4.000	    2.369	    3.624	    2.603
 1980	     2	    26	    0.712	     20.636	     28.527	     84.460	      1.806	     18.888	    3.371	    3.748	    5.632	    4.411
 1980	     2	    27	    3.006	     21.453	     29.093	     84.063	      1.341	     16.985	    3.638	    3.488	    5.168	    4.033
 1980	     2	    28	    0.125	     20.059	     30.890	     78.006	      1.283	     23.048	    4.357	    4.606	    6.826	    5.494
 1980	     2	    29	    0.157	     22.495	     31.400	     78.320	      1.558	     14.514	    4.300	    3.478	    4.575	    3.578
 1980	     3	     1	    1.201	     19.848	     27.841	     83.728	      1.551	     15.938	    4.649	    3.352	    4.791	    3.656
 1980	     3	     2	    3.113	     20.716	     28.114	     86.180	      1.700	     18.724	    2.900	    3.741	    5.567	    4.354
 1980	     3	     3	   10.039	     21.013	     26.242	     90.287	      1.311	     12.773	    2.937	    2.604	    3.966	    2.914
 1980	     3	     4	   12.665	     19.314	     27.629	     87.153	      1.358	     16.824	    3.043	    3.330	    4.992	    3.825
 1980	     3	     5	    0.119	     20.910	     32.273	     76.228	      1.467	     23.024	    4.339	    4.666	    6.905	    5.630
 1980	     3	     6	    0.140	     22.435	     30.077	     84.666	      1.313	     17.357	    4.401	    3.626	    5.314	    4.212
 1980	     3	     7	    1.854	     21.377	     28.419	     85.629	      1.764	     18.400	    3.305	    3.598	    5.506	    4.327
 1980	     3	     8	    9.449	     19.015	     26.827	     85.226	      1.977	     18.151	    3.391	    3.462	    5.292	    4.071
 1980	     3	     9	    0.158	     20.408	     29.767	     80.750	      1.093	     22.408	    3.451	    4.267	    6.599	    5.294
 1980	     3	    10	    0.000	     20.402	     31.590	     71.268	      0.994	     20.423	    3.858	    4.227	    6.120	    4.927
 1980	     3	    11	    0.419	     22.522	     27.314	     87.701	      1.425	      9.265	    2.990	    2.197	    3.100	    2.180
 1980	     3	    12	    2.329	     21.915	     25.270	     91.262	      1.182	      9.819	    2.033	    2.064	    3.204	    2.239
 1980	     3	    13	    7.238	     20.316	     25.699	     83.308	      2.574	     15.894	    3.728	    3.227	    4.714	    3.574
 1980	     3	    14	    2.308	     17.386	     26.252	     76.349	      2.618	     22.746	    3.322	    4.259	    6.371	    4.964
 1980	     3	    15	    0.015	     19.134	     27.273	     78.015	      2.088	     18.858	    2.697	    3.807	    5.481	    4.260
 1980	     3	    16	    0.000	     19.792	     28.145	     79.450	      1.721	     17.849	    3.599	    3.629	    5.271	    4.108
 1980	     3	    17	    0.000	     17.625	     26.892	     88.125	      1.158	     16.667	    2.633	    3.130	    4.837	    3.678
 1980	     3	    18	    0.124	     22.166	     30.904	     82.945	      1.714	     20.742	    3.508	    4.077	    6.237	    5.066
 1980	     3	    19	    0.009	     21.710	     31.233	     81.010	      1.657	     20.517	    3.531	    4.086	    6.165	    5.003
 1980	     3	    20	    0.000	     21.556	     31.798	     78.543	      1.586	     20.910	    3.250	    4.245	    6.287	    5.123
 1980	     3	    21	    0.413	     20.713	     32.613	     73.208	      1.064	     22.057	    3.335	    4.393	    6.604	    5.402
 1980	     3	    22	    0.260	     21.493	     34.327	     66.054	      1.583	     21.830	    3.197	    4.702	    6.635	    5.496
 1980	     3	    23	    0.000	     23.563	     34.492	     68.808	      1.035	     21.888	    3.400	    4.601	    6.737	    5.646
 1980	     3	    24	    3.439	     23.410	     34.150	     66.760	      1.392	     20.047	    3.459	    4.367	    6.184	    5.145
 1980	     3	    25	    1.108	     22.140	     30.854	     78.910	      1.312	     14.615	    4.777	    3.271	    4.534	    3.565
 1980	     3	    26	   15.789	     21.301	     27.634	     84.347	      1.615	     12.095	    2.524	    2.609	    3.779	    2.815
 1980	     3	    27	    0.711	     22.191	     29.203	     83.684	      1.427	     10.499	    2.789	    2.496	    3.405	    2.514
 1980	     3	    28	    0.183	     22.039	     27.755	     83.213	      2.257	      8.673	    1.468	    2.194	    2.911	    2.040
 1980	     3	    29	    0.667	     20.878	     25.879	     86.533	      2.687	     12.749	    2.552	    2.699	    3.894	    2.892
 1980	     3	    30	    3.010	     18.166	     23.249	     78.797	      2.045	     10.950	    1.530	    2.485	    3.312	    2.323
 1980	     3	    31	    0.010	     15.465	     25.532	     73.702	      2.652	     18.444	    2.295	    3.642	    5.107	    3.891
 1980	     4	     1	    0.000	     16.672	     25.838	     76.060	      2.070	     19.639	    2.594	    3.607	    5.468	    4.225
 1980	     4	     2	    0.000	     16.525	     26.552	     75.178	      1.644	     19.097	    2.636	    3.529	    5.351	    4.138
 1980	     4	     3	    0.000	     16.525	     27.919	     73.376	      1.534	     20.016	    2.540	    3.683	    5.640	    4.413
 1980	     4	     4	    0.000	     17.323	     27.901	     80.847	      1.345	     16.367	    2.526	    3.057	    4.733	    3.645
 1980	     4	     5	    0.657	     19.393	     26.971	     80.316	      1.757	     18.810	    2.307	    3.390	    5.403	    4.246
 1980	     4	     6	    0.399	     17.566	     26.288	     80.047	      1.566	     18.819	    2.206	    3.248	    5.300	    4.118
 1980	     4	     7	    0.000	     17.494	     26.288	     75.904	      2.326	     14.339	    2.381	    3.057	    4.169	    3.135
 1980	     4	     8	    0.000	     18.952	     27.796	     71.878	      2.968	     12.336	    2.265	    3.272	    3.744	    2.798
 1980	     4	     9	    0.000	     20.250	     30.039	     71.530	      1.199	     18.094	    3.160	    3.554	    5.344	    4.280
 1980	     4	    10	    1.466	     20.406	     32.262	     78.183	      2.599	     15.662	    3.502	    3.488	    4.754	    3.806
 1980	     4	    11	   10.266	     11.666	     29.244	     78.013	      1.948	     16.260	    3.361	    3.415	    4.515	    3.426
 1980	     4	    12	   34.938	     18.049	     25.572	     91.883	      3.580	      7.052	    3.231	    1.742	    2.374	    1.539
 1980	     4	    13	   39.719	     13.606	     18.420	     89.701	      3.062	      8.038	    2.288	    1.610	    2.394	    1.497
 1980	     4	    14	    3.085	     12.182	     16.999	     79.437	      2.747	      6.841	    1.471	    1.583	    2.078	    1.221
 1980	     4	    15	    8.146	      9.889	     18.304	     71.963	      1.303	     18.686	    2.086	    2.774	    4.517	    3.283
 1980	     4	    16	    1.111	      8.027	     20.909	     70.198	      1.282	     18.182	    1.849	    2.807	    4.440	    3.231
 1980	     4	    17	    0.000	      8.838	     22.219	     79.298	      2.822	     14.867	    2.124	    2.685	    3.805	    2.729
 1980	     4	    18	    0.000	     16.115	     25.168	     84.849	      1.344	      8.679	    0.983	    1.802	    2.702	    1.838
 1980	     4	    19	    0.011	     19.898	     24.049	     88.505	      1.036	      6.605	    1.553	    1.466	    2.281	    1.447
 1980	     4	    20	    0.026	     19.317	     27.476	     84.558	      1.170	     13.430	    1.642	    2.543	    3.988	    3.047
 1980	     4	    21	    0.000	     19.891	     29.581	     73.838	      1.765	     15.862	    2.597	    3.257	    4.683	    3.716
 1980	     4	    22	    0.000	     19.023	     30.474	     67.141	      2.110	     17.630	    2.531	    3.689	    5.144	    4.132
 1980	     4	    23	    0.000	     19.044	     30.847	     69.082	      2.185	     17.223	    2.405	    3.717	    5.047	    4.056
 1980	     4	    24	    0.000	     19.187	     29.959	     74.967	      1.880	     16.441	    2.352	    3.210	    4.812	    3.838
 1980	     4	    25	    0.000	     15.653	     26.069	     77.366	      1.253	     15.441	    2.186	    2.676	    4.306	    3.288
 1980	     4	    26	    0.000	     14.848	     24.431	     76.645	      2.581	     15.917	    2.152	    2.905	    4.330	    3.282
 1980	     4	    27	    0.000	     15.754	     24.652	     78.359	      1.740	     11.636	    2.085	    2.340	    3.353	    2.436
 1980	     4	    28	    0.000	     17.757	     29.012	     72.573	      1.063	     15.439	    2.088	    2.667	    4.462	    3.503
 1980	     4	    29	    0.000	     16.649	     29.400	     68.509	      1.520	     15.909	    2.005	    3.009	    4.552	    3.577
 1980	     4	    30	    3.912	     17.506	     26.858	     77.314	      2.420	      8.309	    1.716	    2.356	    2.638	    1.830
 1980	     5	     1	   15.458	     14.634	     20.995	     91.830	      3.597	      6.071	    4.232	    1.518	    1.996	    1.191
 1980	     5	     2	   30.568	     12.497	     17.848	     85.478	      2.450	      7.308	    0.535	    1.533	    2.160	    1.328
 1980	     5	     3	    0.460	     11.664	     17.075	     76.585	      1.675	     12.909	    0.988	    1.948	    3.258	    2.287
 1980	     5	     4	    0.000	      9.486	     18.218	     68.886	      2.167	     14.452	    1.259	    2.383	    3.529	    2.520
 1980	     5	     5	    0.000	     10.032	     20.190	     77.102	      1.133	     14.890	    1.435	    1.981	    3.715	    2.699
 1980	     5	     6	    0.391	     10.174	     22.172	     70.964	      0.931	     13.331	    1.541	    1.976	    3.453	    2.495
 1980	     5	     7	    0.708	     11.551	     15.984	     92.756	      1.602	      6.078	    2.492	    1.068	    1.849	    1.057
 1980	     5	     8	   10.404	     14.085	     23.091	     85.973	      1.378	      8.406	    2.045	    1.543	    2.508	    1.685
 1980	     5	     9	    5.492	     14.530	     19.938	     90.980	      2.114	      6.057	    1.804	    1.187	    1.964	    1.169
 1980	     5	    10	   17.844	     16.258	     23.696	     81.669	      2.302	      9.055	    2.684	    1.835	    2.713	    1.884
 1980	     5	    11	    0.000	     15.301	     26.005	     75.769	      1.138	     14.909	    1.881	    2.363	    4.102	    3.158
 1980	     5	    12	    0.000	     15.792	     27.503	     74.348	      1.648	     15.145	    1.703	    2.585	    4.222	    3.291
 1980	     5	    13	    0.000	     15.475	     27.454	     78.045	      1.777	     14.919	    1.682	    2.386	    4.151	    3.226
 1980	     5	    14	    0.000	     16.686	     27.378	     76.442	      1.800	     14.527	    1.724	    2.397	    4.089	    3.187
 1980	     5	    15	    0.000	     18.053	     27.315	     78.832	      1.370	     12.524	    2.235	    2.212	    3.636	    2.792
 1980	     5	    16	    2.702	     15.990	     22.194	     94.455	      1.520	      6.876	    0.783	    1.228	    2.185	    1.397
 1980	     5	    17	    2.484	     16.145	     21.409	     87.451	      1.460	      5.569	    1.937	    1.255	    1.894	    1.122
 1980	     5	    18	    1.045	     16.939	     23.750	     87.938	      0.981	      8.171	    0.593	    1.367	    2.510	    1.717
 1980	     5	    19	    2.772	     17.351	     24.184	     87.149	      1.213	      8.970	    1.642	    1.541	    2.705	    1.905
 1980	     5	    20	    0.560	     17.018	     25.550	     83.749	      1.204	      8.681	    1.516	    1.602	    2.650	    1.869
 1980	     5	    21	    1.238	     15.638	     19.532	     91.886	      2.960	      5.358	    0.992	    1.125	    1.815	    1.044
 1980	     5	    22	    6.027	     16.277	     19.775	     85.803	      2.202	      6.931	    1.244	    1.438	    2.160	    1.368
 1980	     5	    23	    0.926	     12.087	     21.121	     84.377	      0.969	     12.406	    1.182	    1.629	    3.231	    2.351
 1980	     5	    24	    0.000	     13.016	     23.061	     83.725	      1.271	     13.316	    1.279	    1.781	    3.517	    2.629
 1980	     5	    25	    0.202	     13.827	     20.847	     87.201	      1.129	     10.575	    0.895	    1.487	    2.882	    2.046
 1980	     5	    26	    0.000	     13.713	     23.814	     77.810	      1.142	     13.398	    1.336	    1.819	    3.576	    2.698
 1980	     5	    27	    0.000	     12.830	     25.063	     71.711	      2.059	     13.576	    1.196	    2.355	    3.625	    2.748
 1980	     5	    28	    0.898	     13.496	     23.706	     70.507	      1.448	     11.702	    1.331	    2.024	    3.183	    2.346
 1980	     5	    29	    1.456	     14.259	     23.279	     79.342	      0.814	     11.677	    1.507	    1.738	    3.186	    2.352
 1980	     5	    30	    1.722	     17.123	     22.766	     81.428	      1.390	      9.577	    1.314	    1.678	    2.785	    1.991
 1980	     5	    31	    2.811	     15.472	     23.603	     83.511	      1.425	      7.939	    1.025	    1.562	    2.397	    1.633
 1980	     6	     1	    3.204	      8.922	     18.257	     91.781	      1.211	      5.361	    1.212	    0.938	    1.647	    0.927
 1980	     6	     2	    0.388	      7.529	     15.432	     66.777	      1.849	     12.874	    0.750	    2.044	    2.949	    2.076
 1980	     6	     3	    0.005	      7.242	     16.046	     62.178	      2.665	     13.952	    0.760	    2.789	    3.162	    2.263
 1980	     6	     4	    0.245	      6.055	     18.395	     69.123	      1.661	     14.547	    0.681	    1.973	    3.321	    2.406
 1980	     6	     5	    0.110	      8.726	     21.602	     72.251	      1.530	     13.727	    0.701	    2.227	    3.378	    2.492
 1980	     6	     6	    0.163	      6.772	     21.894	     74.075	      1.017	     12.306	    0.813	    1.516	    3.027	    2.178
 1980	     6	     7	    0.286	     10.703	     21.676	     68.411	      0.944	     12.609	    0.963	    1.796	    3.212	    2.361
 1980	     6	     8	    0.000	     10.739	     23.463	     68.788	      1.679	     13.090	    1.056	    2.168	    3.371	    2.516
 1980	     6	     9	    0.000	     12.856	     23.535	     67.152	      1.491	     13.094	    1.208	    2.159	    3.442	    2.596
 1980	     6	    10	    0.000	     15.605	     26.803	     70.370	      1.417	      9.078	    1.106	    1.875	    2.692	    1.950
 1980	     6	    11	    0.000	     14.878	     21.994	     84.611	      1.013	      7.052	    1.181	    1.244	    2.157	    1.407
 1980	     6	    12	   11.763	     16.010	     19.521	     79.347	      2.065	      5.166	    1.245	    1.532	    1.759	    1.012
 1980	     6	    13	    6.635	      9.389	     18.977	     83.280	      5.102	      5.931	    1.794	    1.913	    1.767	    1.045
 1980	     6	    14	    0.317	     10.240	     14.971	     75.503	      1.920	     11.592	    0.530	    1.708	    2.771	    1.941
 1980	     6	    15	    0.586	      5.418	     17.375	     80.909	      1.274	     12.464	    0.828	    1.344	    2.848	    2.004
 1980	     6	    16	    0.625	      7.037	     21.401	     79.909	      1.494	     12.635	    0.693	    1.479	    3.076	    2.228
 1980	     6	    17	    1.150	      9.879	     22.341	     66.342	      1.393	     10.741	    0.894	    2.133	    2.806	    2.006
 1980	     6	    18	    0.000	     12.678	     25.973	     71.160	      1.643	     10.497	    1.204	    2.095	    2.920	    2.146
 1980	     6	    19	    1.156	     10.233	     19.383	     93.746	      2.145	      4.981	    1.762	    1.003	    1.605	    0.895
 1980	     6	    20	   12.182	     11.932	     16.979	     76.217	      3.897	      4.703	    0.610	    1.995	    1.559	    0.836
 1980	     6	    21	    0.103	     11.656	     17.709	     76.880	      1.792	      7.918	    0.595	    1.574	    2.180	    1.417
 1980	     6	    22	    0.032	      9.422	     18.212	     77.823	      1.468	     11.602	    0.706	    1.512	    2.846	    2.020
 1980	     6	    23	    0.000	      8.034	     19.773	     75.665	      2.140	     10.796	    0.713	    1.741	    2.691	    1.885
 1980	     6	    24	    0.658	      9.146	     18.176	     83.617	      3.705	      6.005	    2.195	    1.235	    1.763	    1.041
 1980	     6	    25	   10.411	     10.920	     16.973	     89.570	      2.933	      4.863	    0.910	    1.250	    1.569	    0.850
 1980	     6	    26	    4.033	      6.957	     15.954	     67.993	      1.771	     11.369	    0.722	    1.822	    2.651	    1.832
 1980	     6	    27	    1.130	      4.883	     16.994	     67.967	      1.374	     14.390	    0.569	    1.409	    3.173	    2.278
 1980	     6	    28	    0.000	      5.119	     20.352	     63.608	      1.877	     13.487	    0.689	    2.037	    3.142	    2.268
 1980	     6	    29	    0.000	      9.045	     21.144	     76.668	      3.047	     10.462	    0.951	    1.993	    2.696	    1.896
 1980	     6	    30	    6.198	     12.649	     25.044	     80.453	      3.854	      7.667	    1.543	    2.058	    2.282	    1.548
 1980	     7	     1	    7.286	      5.716	     12.576	     88.209	      3.560	      6.605	    0.718	    1.190	    1.691	    0.980
 1980	     7	     2	    0.482	      7.611	     13.713	     74.361	      2.426	     10.875	    0.598	    2.100	    2.517	    1.705
 1980	     7	     3	    1.395	      9.774	     12.969	     92.161	      1.405	      4.886	    0.830	    0.846	    1.498	    0.785
 1980	     7	     4	    1.027	      8.493	     18.646	     88.929	      1.111	      8.590	    0.721	    1.288	    2.255	    1.484
 1980	     7	     5	    0.000	      9.105	     18.412	     79.775	      1.638	     11.138	    0.682	    1.566	    2.763	    1.936
 1980	     7	     6	    0.000	      9.920	     20.876	     77.815	      1.360	     11.633	    0.549	    1.869	    2.962	    2.127
 1980	     7	     7	    0.000	     11.084	     20.824	     73.100	      2.880	      8.972	    1.607	    1.986	    2.452	    1.668
 1980	     7	     8	   11.581	     13.333	     19.348	     91.935	      2.232	      6.188	    2.062	    1.128	    1.917	    1.164
 1980	     7	     9	   15.854	      7.316	     16.111	     73.235	      1.660	     12.617	    0.902	    1.618	    2.918	    2.051
 1980	     7	    10	    0.581	      8.700	     14.556	     84.370	      1.482	      9.991	    0.713	    1.322	    2.429	    1.619
 1980	     7	    11	    0.000	      7.050	     18.195	     86.980	      1.243	     11.878	    0.792	    1.374	    2.843	    1.990
 1980	     7	    12	    2.138	     11.396	     17.610	     87.896	      1.050	      8.405	    1.023	    1.175	    2.286	    1.495
 1980	     7	    13	    5.384	     12.216	     19.264	     88.535	      1.733	      5.867	    1.695	    1.147	    1.833	    1.084
 1980	     7	    14	    8.698	      4.921	     18.312	     80.516	      2.835	      9.258	    1.850	    1.710	    2.287	    1.500
 1980	     7	    15	    0.027	      4.138	     13.719	     75.909	      1.762	     14.527	    0.482	    1.737	    3.063	    2.139
 1980	     7	    16	    0.000	      7.273	     20.889	     71.369	      1.800	     12.923	    0.738	    2.306	    3.159	    2.269
 1980	     7	    17	    0.000	      7.499	     20.994	     77.870	      0.992	     11.441	    0.954	    1.661	    2.872	    2.019
 1980	     7	    18	    0.000	     11.195	     22.046	     78.235	      1.478	     11.637	    0.881	    2.013	    3.063	    2.206
 1980	     7	    19	    0.000	     12.512	     22.858	     78.018	      2.403	      8.262	    1.447	    1.983	    2.400	    1.615
 1980	     7	    20	   14.299	     12.844	     22.352	     75.973	      2.723	      6.623	    1.616	    2.045	    2.053	    1.292
 1980	     7	    21	   21.451	      8.808	     16.328	     74.541	      1.598	     13.843	    1.042	    1.785	    3.248	    2.315
 1980	     7	    22	    0.000	      6.478	     20.439	     65.756	      1.229	     13.550	    0.903	    2.123	    3.257	    2.333
 1980	     7	    23	    0.000	      7.420	     18.034	     68.735	      0.782	     14.634	    0.938	    1.667	    3.422	    2.461
 1980	     7	    24	    0.000	      7.758	     20.779	     60.980	      2.465	     14.606	    0.973	    2.807	    3.542	    2.580
 1980	     7	    25	    0.000	      9.141	     22.901	     62.489	      2.500	     13.797	    1.134	    2.840	    3.504	    2.570
 1980	     7	    26	    9.362	     13.928	     28.059	     71.951	      3.735	      8.749	    2.392	    2.186	    2.639	    1.870
 1980	     7	    27	    6.730	     10.589	     18.565	     64.234	      1.621	     15.078	    1.458	    2.171	    3.675	    2.689
 1980	     7	    28	   16.953	      8.958	     18.746	     83.459	      2.454	      8.169	    1.595	    1.529	    2.230	    1.424
 1980	     7	    29	   66.490	      9.551	     17.141	     89.192	      2.642	      5.851	    3.232	    1.315	    1.766	    1.004
 1980	     7	    30	   13.477	      6.030	     13.457	     91.553	      1.846	      6.477	    0.696	    1.187	    1.733	    0.983
 1980	     7	    31	    0.000	      3.602	     15.298	     66.213	      1.343	     15.906	    0.917	    1.921	    3.409	    2.387
 1980	     8	     1	    0.000	      3.719	     17.957	     56.571	      1.577	     15.365	    0.974	    2.214	    3.436	    2.424
 1980	     8	     2	    0.000	      6.168	     18.193	     73.858	      1.031	      6.624	    1.062	    1.493	    1.858	    1.094
 1980	     8	     3	    0.000	      9.289	     21.376	     77.651	      2.583	     13.995	    1.287	    2.069	    3.529	    2.554
 1980	     8	     4	    0.000	     11.013	     23.919	     63.457	      2.932	     14.937	    1.732	    3.410	    3.896	    2.902
 1980	     8	     5	    1.251	     15.234	     21.836	     82.414	      1.179	      7.589	    1.032	    1.497	    2.341	    1.519
 1980	     8	     6	    6.021	     14.617	     18.631	     86.332	      2.862	      6.857	    2.120	    1.325	    2.124	    1.300
 1980	     8	     7	    0.542	     14.211	     21.985	     72.275	      1.853	     15.029	    1.858	    2.444	    3.978	    2.972
 1980	     8	     8	    0.000	     12.303	     19.170	     76.050	      1.020	     14.445	    1.078	    2.015	    3.678	    2.668
 1980	     8	     9	    0.000	      8.773	     20.096	     77.193	      1.039	     14.059	    1.354	    1.966	    3.497	    2.496
 1980	     8	    10	    0.000	     11.595	     20.947	     86.517	      0.792	     12.662	    1.522	    1.779	    3.336	    2.376
 1980	     8	    11	    0.000	      8.827	     17.138	     79.939	      2.886	     11.046	    1.365	    2.061	    2.793	    1.873
 1980	     8	    12	    0.001	      2.720	     16.459	     75.625	      2.211	     14.553	    1.121	    2.250	    3.211	    2.195
 1980	     8	    13	    0.000	      8.939	     22.163	     76.889	      1.068	     12.342	    1.155	    2.000	    3.222	    2.267
 1980	     8	    14	    0.000	     10.583	     21.000	     80.232	      1.342	     15.067	    1.671	    2.218	    3.836	    2.788
